userName,score,at,content,sentiment
Wulan Suci,1,2026-05-06 09:22:05,SAYA SEBAGAI PENJUAL BARANG TIDAK PERNAH POST FOTO VULGAR DAN GA JOGET2 TIBA2 KENA BANNED IG SAYA. SEDANGKAN YANG JOGET DAN VULGAR BEBAS BERKELUYURAN DI INSTAGRAM. APA INSTAGRAM MAU JADI APLIKASI P*RNO??,Anger
Alstar Timur,5,2026-05-06 09:21:46,keren buat posting Poto & vidio yg mau buat album,Happy
30_ Subhan Hamdan,2,2026-05-06 09:14:47,"This is so stupid, how can I not log in with the correct account and password, but I can log in via Chrome? Oh my god, this is so stupid.",Fear
01. Ekky Muhammad Faqih,2,2026-05-06 09:12:28,"instagram bug apa gimana ini kok tidak bisa tag kolaborasi padahal sudah klik kolaborasi tapi malah tag biasa jadinya, tolong diperbaiki!",Fear
Dzim Disculture,5,2026-05-06 09:00:19,luar biasa keren,Happy
Asriadi Adi,4,2026-05-06 09:00:02,seru dan banyak informasi,Happy
alkindizan defiansyah,5,2026-05-06 08:47:16,gk bisa login,Fear
Elisabeth Maria,5,2026-05-06 08:46:53,sangatt bagusss🖤🖤,Love
dyan athd,5,2026-05-06 08:44:59,bagus dan menarik fitur fitur lengkap,Happy
Dwi Rahmadani,1,2026-05-06 08:34:17,"ig knp sih dr dulu klo buat sorotan/ngedit sorotan pasti gabisa selalu memuat"" terus ga slesai"" ini masalah udah dri beberapa tahun yg lalu masih aja bgini tolong ya pihak instagram di benerin lah ini ganggu banget!",Anger
Ben Redmi,5,2026-05-06 08:28:28,"tampilan nya jadi lebih banyak video daripada foto, kayak ngikutin aplikasi sebelah.",Sadness
Salwa Salsabila,5,2026-05-06 08:23:30,"sangat seru bisa chtan, dan asik",Happy
Jujuu Cutee,3,2026-05-06 08:20:45,"gak tau tiba² gak bisa di buka, harus ajukan banding, padahal gak ada aneh² di ig, bukan 1 akun tapi 2 akun gak bisa di buka",Fear
mam4Mur,4,2026-05-06 08:17:49,Instagram Bagus jadi tau isi dunia,Happy
Muichiro Tokito,5,2026-05-06 08:02:58,"akun saya disuspend tiba tiba, lalu di nonaktifkan permanen",Fear
Sartono cw,1,2026-05-06 07:59:10,"aplikasi gajelas menguninstal sampe berhari"" pdhl g ad lag sama sekali aneh juga g bisa d batalkan lgi",Fear
Diky Gunawan,5,2026-05-06 07:49:56,baguss banget aplikasi inii!!,Love
sumpah demi allah,5,2026-05-06 07:44:50,"tolong tambahin air min kayak di tiktok,di tiktok kan api kalo di instagram air ajee bosen nich DM""an muluu kalo bisa si air yah min🙏🙏",Fear
KRIS MAN,5,2026-05-06 07:41:14,ini bagus banget harus didolnot ya🥰🥰🥰🥰,Love
Sri Rahayu,1,2026-05-06 07:37:26,Instagram plis ACC tanda pengenal saya dong ig saya minta ajukan banding gabisa terus ini gimana tolong dong jangan makin di persulit tolong acc tanda pengenal saya biar akun saya balik lagi ini daritadi gabisa loh,Fear
Widodo Marshel,1,2026-05-06 07:35:49,"gua kasih bintang 1 karena lemot, buffering terus, padahal sinyal bagus.",Sadness
Taufiq 21,5,2026-05-06 07:33:28,Apdate setiap hari ampun deh google play store,Anger
Pandawa Pandawa,5,2026-05-06 07:32:21,mantappppppppp,Happy
Rani Santika,4,2026-05-06 07:30:08,"kenapa si akhir2 ini buka Instagram suka muter2, aku pikir cuma punya ku yang bermasalah sampai ku refresh tapi tetap ga bisa",Sadness
wa ndi,5,2026-05-06 07:29:23,"Sangat bagus, berbagi pengalaman, motivasi dll.",Happy
Samsul Agil,5,2026-05-06 07:27:54,baik bagus mudah,Happy
njas ernando mlayu,5,2026-05-06 07:26:04,"kurangilah size, banyakilah optimize.",Anger
Abdul Muhyidin,1,2026-05-06 07:25:57,"tolong benerin,bug postingan terbaru,selalu gk muncul,",Fear
Digie Cell,1,2026-05-06 07:19:47,kenapa tidak bisa mengunggah story,Fear
Syarif al kafi,1,2026-05-06 07:16:33,Ga bisa angkat telfon,Fear
raffa liputo,1,2026-05-06 07:09:47,kok saya tidak bisa log in,Fear
Muhammad hilal,5,2026-05-06 07:05:30,keren,Happy
dygo Hansen,1,2026-05-06 06:55:38,banyak bug jir masa ketinggalan,Sadness
Montionz Pro,4,2026-05-06 06:55:02,cuman mau nyebutin yg menggangu aja kek highligh pas mau ganti foto selalu loading gk ke ganti (kadang bisa kadang kagak) asli ribetin,Anger
Aulianursalsabillah477,1,2026-05-06 06:50:29,"aku udah kena suspend 2 kali dengan akun yang berbeda, padahal buka ig aja jarang, ga bikin konten macem2 tapi kok tiba2 ke suspend, padahal akun yang pertama udah dari aku sd, beberapa bln aku bikin akun lagi dan ke suspend lagi, ig kenapa sih.. benci banget🥺 aku udah ajuin banding, udah lapor ke pihak meta, gaada tanggapan sama sekali dan sekarang semua akunku di nonaktifkan",Fear
Tommy Fauzi,1,2026-05-06 06:45:23,Semakin banyak bug.,Sadness
Moch Sokeh,5,2026-05-06 06:43:20,ok,Sadness
Agyl Fathur,4,2026-05-06 06:39:16,Buruk sekali! Tampilan sekarang tidak nyaman dilihat. Kembalikan ukuran feed Instagram menjadi 1:1,Anger
Geisla Eskania,3,2026-05-06 06:26:58,"saya kemarin hbs uninstall ig, pas instal lg kok ada bbrp fitur yg jd downgrade ya?",Fear
Rizal Rivaldi,5,2026-05-06 06:25:03,baguslah,Happy
Karyn Tabrahim,1,2026-05-06 06:15:55,"sudah 2 akun IG saya kena banned, yang akun pertama hanya post kado biasa dan yang akun kedua hanya post profile semuanya tidak ada masalah tapi di disable permanen padahal tidak melanggar hal apapun sangat kecewa dengan IG sekarang",Sadness
Fogo_ Dogaa,5,2026-05-06 06:11:29,banyak orang yang sudah lama memainkan game ini,Fear
Pribadi,1,2026-05-06 06:07:30,karna lama dolwod nya di hp j2 praim samsung,Sadness
Arfia Aulani,5,2026-05-06 06:05:31,"saya merasa puas dengan instagram, karena menurut saya instagram mempunyai fitur yang baik dan sesuai dengan diri saya",Happy
Ananta Midoriya,1,2026-05-06 06:01:32,makin kesini makin ngerasa kayak banyak bug nya...!!,Anger
Samsul Bazah,4,2026-05-06 06:01:03,aku kasi bintang 4 karna ada banya flm rojok/jorok disitu,Sadness
Miliyanti mely,1,2026-05-06 06:01:01,"Berguna sih sebenernya, bagus jga Tpi akhir akhir ini dm ngga bisa masuk udah di refresh berkali kali, setiap posting tata letak bawaan apk pasti ngga bisa dikirim juga sama halnya dengan boomerang catatan akun ngga bisa dilihat, catatan video ngga bisa kekirim kuota lancar padahal, tolong segera perbaiki sebelum saya uninstal Udahnya boros kuota, vitur bug semua pula.",Fear
Akhasi Store,5,2026-05-06 05:48:39,Instagram bagus namun gampang ke blokir jika di pakai untuk kerja namun saya tetap kasi bintang 5 semoga secepatnya di perbaiki,Happy
FahX Kull,5,2026-05-06 05:48:00,ngilangin gabut 🗿👍,Fear
Juli Ani,5,2026-05-06 05:45:30,Bagus,Happy
karisma,5,2026-05-06 05:43:53,mantap,Happy
Reffani Putri,1,2026-05-06 05:42:08,instagram kenapa tidak ada fitur komentar story pada akun saya,Fear
Hendra Hendra,1,2026-05-06 05:37:08,pihak admin Instagram tolong dong masa akun saya di retas oleh pihak yang tidak bertanggung jawab ID : ikbal_palola,Fear
Pasya Haspa,1,2026-05-06 05:35:05,jaringan ngelag Kandas sendiri,Fear
Yusup Suryadi,5,2026-05-06 05:31:55,moga kedepannya semakin baik,Happy
Eko Purwanto,4,2026-05-06 05:23:51,good,Happy
gasindo putramandiri,5,2026-05-06 05:19:46,love it,Sadness
Elkojenerio91,4,2026-05-06 05:16:41,"Kepada tim instagram, mohon segera memperbarui bug di IG saya karna di IG saya tidak ada opsi perpesanan perbarui, saya sangat membutuhkan opsi itu, Mohon segera di perbaiki atau mendengar keluhan saya",Fear
RANDI,1,2026-05-06 05:06:53,"tolong dong buat ig ini akun ig saya gak bisa masuk(login) serta akun saya banyak yang kena suspen tanpa alasan jelas, terus gak bisa ajukan banding",Fear
Adit Arpan,5,2026-05-06 05:02:39,kece,Sadness
Ubaid Bahir,5,2026-05-06 04:59:05,bermanfaat,Happy
zar_imutt zar_imutt,1,2026-05-06 04:57:43,akun saya tiba-tiba di nonaktifkan permanent,Fear
Lia Flower,4,2026-05-06 04:52:44,"Instragram tolong notice aku, kenapa selesai di update gak bisa masuk ke Instragram, dia gak bisa memakai bahasa Indonesia, harus memakai bahasa Inggris, sehabis itu udah di daftar kedalam bahasa Inggris dia gak bisa kayak gak ada kuota padahal kuota saya ada sinyal nya bagus, tolong dong Instragram",Fear
KUNCORO PRASETYO,5,2026-05-06 04:51:47,bagus,Happy
R1K4 Aulia,5,2026-05-06 04:51:45,👍🏻🤗,Happy
Diana Febriyanti,5,2026-05-06 04:38:47,terimakasih telat memudahkan kami terhubung dengan sahabat dumay,Happy
basa Basi,5,2026-05-06 04:20:48,sangat puas,Happy
Amrullah Siagian,5,2026-05-06 04:16:18,🔥🔥,Anger
Gading prasojo,5,2026-05-06 04:12:43,sangat membantu,Happy
Supernova,4,2026-05-06 04:02:21,"reels selalu hilang, tidak tersedia fitur reels aneh, instagram 2023 sangat kacau",Fear
Nyong,5,2026-05-06 03:56:23,keren,Happy
Anisa Khoerunisa,2,2026-05-06 03:49:46,"akun lama tiba tiba di hapus nonaktif selamanya, padahal gak ngelakuin apa apa yang melanggar tanpa ada konfirmasi apa kesalahannya. terus pas download dan buat akun baru banyak banget iklan drama pendek mana cuplikannya adegan dewasa mulu yang berhubungan dengan s*xsualitas. ganggu banget asli. lagi asik denger reels yang postif tiba2 langsung denger des*h*n ganggu",Anger
Rafael Ginting,5,2026-05-06 03:27:53,sangat bagus men,Happy
Acho Fahrezi,5,2026-05-06 03:26:47,mantap,Happy
Rurin wahyu,1,2026-05-06 03:26:21,akhir² ini apk nya ga bisa dibuka,Fear
zali lepet,5,2026-05-06 03:25:52,mantap dan bagus fitur y,Happy
Ester Blegur,5,2026-05-06 03:08:53,menarik,Sadness
Rafael Manroe,5,2026-05-06 03:01:08,mantappp,Happy
Imam nurhadi,5,2026-05-06 02:46:22,Bagus dan jernih buat Video call,Happy
Kay Pelleng,5,2026-05-06 02:45:06,👍,Sadness
Riska Setyawati,5,2026-05-06 02:33:27,sangat suka dengan aplikasi instagram ini,Happy
marto Uj,5,2026-05-06 02:29:22,bagusss aplikasi nya tapi filter nya agak aneh,Happy
Wijaya Alamsyah,5,2026-05-06 02:29:12,baguss banget,Love
Lemperia Silaban,1,2026-05-06 02:23:08,"banyak bug nyaa, tiba"" di mintain alamat imel pas di ikuti petunjuknya, ehh malah di bilang Imel bermasa, padahal udah di buat imel baru akurat dan terverifikasi tetap aja ga bisa",Sadness
Sujanah Janah,5,2026-05-06 02:22:48,jossss,Happy
Juyeon Juyeon,3,2026-05-06 02:13:53,"keren ni aplikasi,mudah mudahan ngk ad iklan",Happy
Jasmine Salsabilla,1,2026-05-06 02:05:42,efek nya burik semua,Fear
Hanifan zikri,3,2026-05-06 02:01:30,tolong di tambahkan foto atau video yang bisa di slide di bagian reels,Fear
Khanza Aqila,4,2026-05-06 01:54:42,"lumayan sih,tapi aku agak bingung gimana cara pake InstaGram. tapi sekarang udah tau,but orang² di InstaGram kocak semua dan itu yang buat aku jadi ngerasa seru ajahh. tapi tolong tambahin fitur panduan kepada pemula biar ngga bingung",Happy
Robi Putraesco,5,2026-05-06 01:46:38,good jod,Happy
Niku Haku,5,2026-05-06 01:46:18,"di fix lagi kedepannya, misalnya kalo story biar bisa langsung ditambahin ke highlights tanpa harus diarsipkan cerita atau gak sengaja kehapus setelah 24 jam, karna masih bug terus",Fear
Efrain Tiblola,5,2026-05-06 01:43:31,Keren,Sadness
Abdur Rahman Binnas,5,2026-05-06 01:17:02,bagus lancar dan banyak manfaat,Happy
Geffir Alridha,3,2026-05-06 01:11:41,"why you keep my account banned omg, again?",Happy
Cipang,5,2026-05-06 01:00:52,"saya sangat senang menggunakan aplikasi ini, setiap hari Pati saya membuka aplikasi ini,aplikasi yg paling sering saya gunakan,teknologinya canggih kaga ketinggalan lah,mines nya cuma kaga bisa nyari vidio kayak tiktok youtub,gitu doang sih",Love
Zahra Mahardhika,1,2026-05-06 00:58:35,gaa bisa msuk ke akun sendiri pdhal kata sandi bener mohon untuk pihak Instagram di perbaiki lagi soalnya sudah bnyk akun Instagram aku yang begitu,Fear
purnomo adi,5,2026-05-06 00:47:51,👍👍👍👍👍,Happy
Kaizprid,1,2026-05-06 00:47:13,"tolong beri tanda ""teman"" pada bagian ""following"" agar tau siapa yg tidak folback akun kita",Fear
Muhammad Afgan Saputra,1,2026-05-06 00:43:43,"Ngebag mulu,padahal followersnya ga segitu,kenapa jadi bertambah/berkurang?,dan juga padahal kita follow²an,kenapa jadi kaya tiba² di unfollow?",Anger
Leny Marlina,5,2026-05-06 00:36:57,"bagus,pertahankan yaaaaaaa",Happy
Zahra Ayu Azhari,1,2026-05-06 00:36:04,"makinnn ga jelas aja ini apk, semua akun saya di tangguhkan secara permanen, padahal ga ada yang melanggar standar komunitas, sudah buat akun lain dengan nomor dan email berbeda bahkan nama berbeda pun ga bisa bertahan lebih dari 1 hari.",Anger
Lutfiyah Nurseha,3,2026-05-06 00:33:11,masa sampul sorotanku gabisa diganti,Fear
Putra Sitiawan,1,2026-05-06 00:02:11,instagram ini gak bagus gua sering di ganggu om om di ige selalu di telfon dan gambar ya gak fantasss di liat anak anak banyak anak anak di telfon sampai mereka takut dengar suara aplikasi gua mau instagram di awasin keras,Fear
Zharrr Uy,5,2026-05-06 00:01:30,"wkkwkwk,jelek bet",Anger
Firdhal Aufal,1,2026-05-05 23:45:18,"too much ads on reels,i think tiktok is better than this",Happy
Muhamad Yusuf,1,2026-05-05 23:44:45,"banyak erornya skrg,tolong perbaiki lagi",Fear
Wayan Sudarmawan,1,2026-05-05 23:28:54,"kenapa ya akhir2 ini IG nya gak bisa kebuka, padahal signalnya kenceng loh, udah 3 minggu gak bisa buka IG nya",Fear
Ryz-Q Advertising,5,2026-05-05 23:20:48,Aplikasi ini banyak digunakan pengguna android,Happy
Enaayy 012,5,2026-05-05 23:12:01,instagran terbaik,Happy
Antonius Haryudanto,3,2026-05-05 23:10:41,bug,Fear
Koprasi Jatiwirasa,5,2026-05-05 23:01:30,bagus,Happy
kila Blt,1,2026-05-05 22:58:59,Lebih tenang,Happy
Nazwa 123,5,2026-05-05 22:53:42,bagus,Happy
Gabriel Abni Omar,5,2026-05-05 22:37:08,"Instagram benar-benar aplikasi terbaik untuk berbagi momen! ⭐⭐⭐⭐⭐ Tampilannya simpel tapi elegan, fitur-fiturnya terus berkembang, dan sangat mudah digunakan bahkan untuk pemula. Mulai dari upload foto, video, story, sampai reels—semuanya bikin pengalaman jadi seru dan nggak membosankan. Yang paling aku suka adalah bagaimana Instagram bisa menghubungkan kita dengan teman, keluarga, bahkan orang baru dari seluruh dunia. Selain itu, banyak banget konten inspiratif, hiburan, dan edukasi yang bisa",Love
wawan wawan,5,2026-05-05 22:36:43,👍,Sadness
rrrad ooo,1,2026-05-05 22:33:13,"For Instagram, please fix it again. Actually, the Instagram account is the most exciting social media application, but for the past 4 months my account has always been suspended. While I have never violated anything, I have been affected by more than 4 accounts, I ask Instagram to fix it again, thank you.",Happy
chom sun,5,2026-05-05 22:08:25,ok bolo,Fear
HIZRAHBINOL opinbinol,1,2026-05-05 21:35:45,☺️🙏🏻banyak pnglmn,Love
Faujan mulia,5,2026-05-05 21:09:49,goood,Happy
Sahrul Pkt,5,2026-05-05 21:02:56,"APLIKASI REKOMEN BUAT GENSET, MILENIAL MASIH BOLEE LAH, ALPHA NANTI DULU🤫",Love
Ferdy Ferdy,5,2026-05-05 20:30:03,fypin reals gw,Happy
Kenzio Zioo,5,2026-05-05 20:26:57,sangat cocok untuk Poto Poto,Happy
Ichel Satri,5,2026-05-05 19:39:34,sangat baik,Happy
Syahrul,1,2026-05-05 19:35:01,"iklan yang sering muncul, kacau betul sekarang Instagram",Anger
sulisoh,1,2026-05-05 18:41:55,"apaan bgt di baneddd g ngapa ngapa in juga, udah bikin yg baruuu aja langsung di baned juga najisss bgt, sering ngebug,ada internet tp gabisaa buat ini itu apaan bgt mls in KOCAKKK",Anger
aruul gans777,1,2026-05-05 17:57:19,"pas update kok akun ketika logout dan login kembali malah sandi salah padahal sandi benar dan ngak ada perubahan,kalau meminta kode selalunya kode tidak berfungsi whyy makin ga beres update nya..",Fear
lihin Isol557,5,2026-05-05 17:44:33,Selamat,Happy
Daffa Arrazzaq,5,2026-05-05 17:38:03,mantap,Happy
Sakijan,1,2026-05-05 17:31:48,seminggu bisa sampai 2x minta update? gila!,Anger
Karko Jeans,1,2026-05-05 17:16:03,aneh tidak seperti ig yang dulu. sering macet,Fear
Andtru Kontolk,1,2026-05-05 16:55:27,tidak ada fitur terbaru yg virall di tik tok ini pdhl di tiktok ada trend fitur terbaru di Ig itu buat ngedit¹ foto gitu tapi di akunya GK ada,Fear
Tyas,3,2026-05-05 16:53:45,jrng buka soalnya yg mau di incer udh dpt cwe,Fear
Mr Giban,3,2026-05-05 16:45:51,"sangat bagus, tapi lemot tolong diperbaiki lebih baik.",Happy
Ghaya Zhulfa,1,2026-05-05 16:39:23,"aduh gimana si jaringan bagus, wifi oke, kuata ada, masih aja sering loading di refresh udah masih aja kaya gitu, gimana si perbaiki dong gimana kalo ada dm penting tapi telat bales gara-gara nge lag itu, cape banget heran gua ma da sama ig",Anger
Elsi Cahyani,1,2026-05-05 16:37:56,"sorry kasih bintang 1, karena kebijakan meta sekarang terkesan kepo, kepo dengan pengguna atau user instagram. Kenapa kebijakannya harus dirubah gak jadi end to end lagi? itukan sama aja kepo",Fear
Lukas Lukas,5,2026-05-05 16:30:39,kenapa ya sekarang kita cari efek yang kita mau ga ada tapi gpp lah tetap suka ko,Fear
Mirna Dy,2,2026-05-05 16:25:18,"draft suka tiba"" ilang semua pdhl belum kesimpen",Fear
Yosep Aintebo,5,2026-05-05 16:22:10,good,Happy
Ahmadi,2,2026-05-05 16:16:15,sudah beberapa kali membuat akun dgn email yg sama..tapi tidak bisa bertahan lama.,Sadness
Prayitno Bayu,3,2026-05-05 16:15:16,"kalo benerin tu jangan setengah2 . tolonglah dibenerin skrang instagram lemot amat mau login aja lama muter2 doang pdhal signal penuh paket data masih, tp kalo instagram lite kok mudah tolonglah",Fear
Bintang Perrkasa,5,2026-05-05 16:11:01,terima kasih sangat berguna untuk salam kemanusiaan,Happy
Nur Hasanah,5,2026-05-05 16:08:53,keren,Happy
Axel Rio,5,2026-05-05 16:07:17,"bagus,buat nyari selingkuhan",Happy
Dev Del,3,2026-05-05 16:00:59,"It's bad since my Instagram just bugged from 2-3 weeks ago,I already have a smooth network and even entering other applications is smooth, but on Instagram I am still stuck on loading feed, it even prevents me from finding important information,and I can only log in again if I reinstall the application again",Fear
Kukuh Sopian,5,2026-05-05 15:56:05,biar fyp,Fear
FAL•SKYZ,5,2026-05-05 15:47:29,"apk nya sangat bagus,tapi tolong dong supaya bisa upload story Samapi 1.30 menit",Happy
Muhammad Misbah,5,2026-05-05 15:39:35,bagus,Happy
Rudi 304,1,2026-05-05 15:17:03,kerena tidak muncul fitur musik di catatan,Sadness
Andre Zisa,1,2026-05-05 15:17:03,ko gak bisa buka ig nya siii,Fear
Awan Awan,1,2026-05-05 15:09:30,"tiba tiba akun ke ban,padahal sudah 8 tahun akun nya dan tidak melanggar apapun itu",Sadness
iam adhitya,5,2026-05-05 15:09:19,Mantap,Happy
Fawzan CH,5,2026-05-05 15:07:18,elok elok jo la,Happy
Vian Verino,1,2026-05-05 15:06:52,Preferensi konten kacau. Tiap hari bisa ganti sendiri dan itupun konten yang ga menarik/disukai,Fear
Dicky Ramadhan,5,2026-05-05 15:05:37,apk dr jaman dulu yg paling aku suka yah ini,Love
Tabina Shabira,5,2026-05-05 15:01:14,baguss,Sadness
RAMDAFAK 00,1,2026-05-05 14:52:00,akun bisnis ku balikin,Happy
Sri evika Mudmainna,5,2026-05-05 14:46:57,sangat bagusss,Happy
Adesarosh Duka,5,2026-05-05 14:43:31,baik,Happy
Muja Aja,5,2026-05-05 14:43:01,bagus pengguna banyak ramah dapat berita penting,Happy
Bsrr Story,5,2026-05-05 14:31:41,good job 👍🏻,Happy
BULL X,5,2026-05-05 14:31:01,"ini aplikasi kebanyakan masalah, reels yang bener2 gw buat sendiri,udah gw kasih wm juga,masih kena pelanggaran.benerin lagi ini",Anger
Ani Husen,5,2026-05-05 14:28:39,mantap,Happy
Tir Xord,5,2026-05-05 14:28:38,"aplikasi yg Sangat mendukung untuk kegiatan sehari hari, contohnya seperti mengupload konten masakan atau minuman yang unik dan menarik",Happy
Wanda Hamidah,4,2026-05-05 14:18:05,kenapa ya skrng Instagram sering loading teruss padahal jaringan internet bagus tapi loading mohon diperbaiki yaa,Fear
ALIF PANCA,1,2026-05-05 14:14:35,"makin kesini banyak amat iklan judol babi , ga di story , di beranda , bahkan di rels , banyak amat",Fear
